name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
X.Rhodes,00-0030575,no,MIN,CB,11,0,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Gedeon,00-0033944,no,MIN,N/A,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Kendricks,00-0031554,no,MIN,MLB,48,0,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Brees,00-0020531,no,NO,QB,0,0,0,0,0,0,3,5,3,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,387,8,23,0,0,4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,8,2,0,0,12
A.Kamara,00-0033906,no,NO,N/A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,146,238,106,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,88,82,5,0,0,826,120,297,145,8,1,1,728
J.Kuhn,00-0022999,no,NO,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
M.Ingram,00-0027966,no,NO,RB,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,58,0,0,0,416,230,422,133,12,0,0,1124
A.Peterson,00-0025394,no,NO,RB,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,11,0,0,0,70,156,114,27,2,0,0,529
T.Ginn,00-0025396,no,NO,WR,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,32,39,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,54,82,0,19,0,420,150,53,4,0,0,787,10,40,0,0,0,0,39
M.Thomas,00-0032765,no,NO,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,23,104,5,0,0,1245,0,0,0,0,0,0,0
C.Fleener,00-0029697,no,NO,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,12,22,2,0,0,295,0,0,0,0,0,0,0
B.Coleman,00-0030801,no,NO,WR,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,38,23,3,0,0,368,0,0,0,0,0,0,0
T.Lewis,00-0032881,no,NO,WR,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,139,163,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,31,55,0,14,0,110,26,10,1,0,0,116,2,14,0,0,0,0,14
W.Lutz,00-0032569,no,NO,K,0,0,0,0,0,0,0,0,0,0,36,31,694,93,48,2,47,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4
T.Morstead,00-0027114,no,NO,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,26,828,60,2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Edmunds,00-0033838,no,NO,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,41,1,0,0,48
M.Te'o,00-0030278,no,NO,ILB,19,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
